Model name,Model URL,OpenRouter model ID,Provider,Context length,Price/input token,Price/output token,Latency,Throughput,Creation date
Qwen: Qwen3 Next 80B A3B Instruct,https://openrouter.ai/qwen/qwen3-next-80b-a3b-instruct-2509,qwen/qwen3-next-80b-a3b-instruct,DeepInfra,262144,0.00000014,0.0000014,,,"Sep 11, 2025"
Qwen: Qwen3 Next 80B A3B Instruct,https://openrouter.ai/qwen/qwen3-next-80b-a3b-instruct-2509,qwen/qwen3-next-80b-a3b-instruct,Google,262144,0.00000015,0.0000012,,,"Sep 11, 2025"
Qwen: Qwen3 Next 80B A3B Instruct,https://openrouter.ai/qwen/qwen3-next-80b-a3b-instruct-2509,qwen/qwen3-next-80b-a3b-instruct,AtlasCloud,262144,0.00000015,0.0000015,,,"Sep 11, 2025"
Qwen: Qwen3 Next 80B A3B Instruct,https://openrouter.ai/qwen/qwen3-next-80b-a3b-instruct-2509,qwen/qwen3-next-80b-a3b-instruct,GMICloud,262144,0.00000015,0.0000015,,,"Sep 11, 2025"
Qwen: Qwen3 Next 80B A3B Instruct,https://openrouter.ai/qwen/qwen3-next-80b-a3b-instruct-2509,qwen/qwen3-next-80b-a3b-instruct,Novita,131072,0.00000015,0.0000015,,,"Sep 11, 2025"
Qwen: Qwen3 Next 80B A3B Instruct,https://openrouter.ai/qwen/qwen3-next-80b-a3b-instruct-2509,qwen/qwen3-next-80b-a3b-instruct,Hyperbolic,262144,0.0000003,0.0000003,,,"Sep 11, 2025"
Qwen: Qwen3 Next 80B A3B Instruct,https://openrouter.ai/qwen/qwen3-next-80b-a3b-instruct-2509,qwen/qwen3-next-80b-a3b-instruct,Alibaba,131072,0.0000005,0.000002,,,"Sep 11, 2025"
MoonshotAI: Kimi K2 0905,https://openrouter.ai/moonshotai/kimi-k2-0905,moonshotai/kimi-k2-0905,Chutes,262144,0.0000004,0.00000225,,,"Sep 4, 2025"
MoonshotAI: Kimi K2 0905,https://openrouter.ai/moonshotai/kimi-k2-0905,moonshotai/kimi-k2-0905,DeepInfra,262144,0.0000005,0.000002,,,"Sep 4, 2025"
MoonshotAI: Kimi K2 0905,https://openrouter.ai/moonshotai/kimi-k2-0905,moonshotai/kimi-k2-0905,SiliconFlow,262144,0.00000058,0.00000229,,,"Sep 4, 2025"
MoonshotAI: Kimi K2 0905,https://openrouter.ai/moonshotai/kimi-k2-0905,moonshotai/kimi-k2-0905,Fireworks,262144,0.0000006,0.0000025,,,"Sep 4, 2025"
MoonshotAI: Kimi K2 0905,https://openrouter.ai/moonshotai/kimi-k2-0905,moonshotai/kimi-k2-0905,Moonshot AI,262144,0.0000006,0.0000025,,,"Sep 4, 2025"
MoonshotAI: Kimi K2 0905,https://openrouter.ai/moonshotai/kimi-k2-0905,moonshotai/kimi-k2-0905,GMICloud,262144,0.0000006,0.0000025,,,"Sep 4, 2025"
MoonshotAI: Kimi K2 0905,https://openrouter.ai/moonshotai/kimi-k2-0905,moonshotai/kimi-k2-0905,Novita,262144,0.0000006,0.0000025,,,"Sep 4, 2025"
MoonshotAI: Kimi K2 0905,https://openrouter.ai/moonshotai/kimi-k2-0905,moonshotai/kimi-k2-0905,AtlasCloud,65536,0.0000006,0.0000025,,,"Sep 4, 2025"
MoonshotAI: Kimi K2 0905,https://openrouter.ai/moonshotai/kimi-k2-0905,moonshotai/kimi-k2-0905,BaseTen,262000,0.0000006,0.0000025,,,"Sep 4, 2025"
MoonshotAI: Kimi K2 0905,https://openrouter.ai/moonshotai/kimi-k2-0905,moonshotai/kimi-k2-0905,Together,262144,0.000001,0.000003,,,"Sep 4, 2025"
MoonshotAI: Kimi K2 0905,https://openrouter.ai/moonshotai/kimi-k2-0905,moonshotai/kimi-k2-0905,Groq,262144,0.000001,0.000003,,,"Sep 4, 2025"
MoonshotAI: Kimi K2 0905,https://openrouter.ai/moonshotai/kimi-k2-0905,moonshotai/kimi-k2-0905,Moonshot AI,262144,0.0000012,0.000005,,,"Sep 4, 2025"
MoonshotAI: Kimi K2 0905,https://openrouter.ai/moonshotai/kimi-k2-0905,moonshotai/kimi-k2-0905,WandB,128000,0.00000135,0.000004,,,"Sep 4, 2025"
Qwen: Qwen3 30B A3B Thinking 2507,https://openrouter.ai/qwen/qwen3-30b-a3b-thinking-2507,qwen/qwen3-30b-a3b-thinking-2507,Chutes,262144,0.00000008,0.00000029,,,"Aug 28, 2025"
Qwen: Qwen3 30B A3B Thinking 2507,https://openrouter.ai/qwen/qwen3-30b-a3b-thinking-2507,qwen/qwen3-30b-a3b-thinking-2507,SiliconFlow,262144,0.00000009,0.0000003,,,"Aug 28, 2025"
Qwen: Qwen3 30B A3B Thinking 2507,https://openrouter.ai/qwen/qwen3-30b-a3b-thinking-2507,qwen/qwen3-30b-a3b-thinking-2507,Nebius,262144,0.0000001,0.0000003,,,"Aug 28, 2025"
Qwen: Qwen3 30B A3B Thinking 2507,https://openrouter.ai/qwen/qwen3-30b-a3b-thinking-2507,qwen/qwen3-30b-a3b-thinking-2507,Alibaba,131072,0.0000002,0.0000024,,,"Aug 28, 2025"
Gemini 2.5 Flash Image (Nano Banana),https://openrouter.ai/google/gemini-2.5-flash-image-preview,google/gemini-2.5-flash-image-preview,Google AI Studio,32768,0.0000003,0.0000025,,,"Aug 26, 2025"
Gemini 2.5 Flash Image (Nano Banana),https://openrouter.ai/google/gemini-2.5-flash-image-preview,google/gemini-2.5-flash-image-preview,Google,32768,0.0000003,0.0000025,,,"Aug 26, 2025"
Mistral: Mistral Medium 3.1,https://openrouter.ai/mistralai/mistral-medium-3.1,mistralai/mistral-medium-3.1,Mistral,131072,0.0000004,0.000002,,,"Aug 13, 2025"
Z.AI: GLM 4.5V,https://openrouter.ai/z-ai/glm-4.5v,z-ai/glm-4.5v,Parasail,65536,0.0000005,0.0000018,,,"Aug 11, 2025"
Z.AI: GLM 4.5V,https://openrouter.ai/z-ai/glm-4.5v,z-ai/glm-4.5v,Novita,65536,0.0000006,0.0000018,,,"Aug 11, 2025"
Z.AI: GLM 4.5V,https://openrouter.ai/z-ai/glm-4.5v,z-ai/glm-4.5v,Z.AI,65536,0.0000006,0.0000018,,,"Aug 11, 2025"
Anthropic: Claude Opus 4.1,https://openrouter.ai/anthropic/claude-4.1-opus-20250805,anthropic/claude-opus-4.1,Anthropic,200000,0.000015,0.000075,,,"Aug 5, 2025"
Anthropic: Claude Opus 4.1,https://openrouter.ai/anthropic/claude-4.1-opus-20250805,anthropic/claude-opus-4.1,Amazon Bedrock,200000,0.000015,0.000075,,,"Aug 5, 2025"
Anthropic: Claude Opus 4.1,https://openrouter.ai/anthropic/claude-4.1-opus-20250805,anthropic/claude-opus-4.1,Google,200000,0.000015,0.000075,,,"Aug 5, 2025"
Anthropic: Claude Opus 4.1,https://openrouter.ai/anthropic/claude-4.1-opus-20250805,anthropic/claude-opus-4.1,Google,200000,0.000015,0.000075,,,"Aug 5, 2025"
Anthropic: Claude Opus 4.1,https://openrouter.ai/anthropic/claude-4.1-opus-20250805,anthropic/claude-opus-4.1,Google,200000,0.000015,0.000075,,,"Aug 5, 2025"
Mistral: Codestral 2508,https://openrouter.ai/mistralai/codestral-2508,mistralai/codestral-2508,Mistral,256000,0.0000003,0.0000009,,,"Aug 1, 2025"
Qwen: Qwen3 Coder 30B A3B Instruct,https://openrouter.ai/qwen/qwen3-coder-30b-a3b-instruct,qwen/qwen3-coder-30b-a3b-instruct,Chutes,262144,0.00000006,0.00000025,,,"Jul 31, 2025"
Qwen: Qwen3 Coder 30B A3B Instruct,https://openrouter.ai/qwen/qwen3-coder-30b-a3b-instruct,qwen/qwen3-coder-30b-a3b-instruct,SiliconFlow,262144,0.00000007,0.00000028,,,"Jul 31, 2025"
Qwen: Qwen3 Coder 30B A3B Instruct,https://openrouter.ai/qwen/qwen3-coder-30b-a3b-instruct,qwen/qwen3-coder-30b-a3b-instruct,Nebius,262144,0.0000001,0.0000003,,,"Jul 31, 2025"
Qwen: Qwen3 Coder 30B A3B Instruct,https://openrouter.ai/qwen/qwen3-coder-30b-a3b-instruct,qwen/qwen3-coder-30b-a3b-instruct,Alibaba,200000,0.00000075,0.00000375,,,"Jul 31, 2025"
Qwen: Qwen3 30B A3B Instruct 2507,https://openrouter.ai/qwen/qwen3-30b-a3b-instruct-2507,qwen/qwen3-30b-a3b-instruct-2507,Chutes,262144,0.00000007,0.00000028,,,"Jul 29, 2025"
Qwen: Qwen3 30B A3B Instruct 2507,https://openrouter.ai/qwen/qwen3-30b-a3b-instruct-2507,qwen/qwen3-30b-a3b-instruct-2507,SiliconFlow,262144,0.00000009,0.0000003,,,"Jul 29, 2025"
Qwen: Qwen3 30B A3B Instruct 2507,https://openrouter.ai/qwen/qwen3-30b-a3b-instruct-2507,qwen/qwen3-30b-a3b-instruct-2507,AtlasCloud,131072,0.00000009,0.00000045,,,"Jul 29, 2025"
Qwen: Qwen3 30B A3B Instruct 2507,https://openrouter.ai/qwen/qwen3-30b-a3b-instruct-2507,qwen/qwen3-30b-a3b-instruct-2507,Nebius,262144,0.0000001,0.0000003,,,"Jul 29, 2025"
Qwen: Qwen3 30B A3B Instruct 2507,https://openrouter.ai/qwen/qwen3-30b-a3b-instruct-2507,qwen/qwen3-30b-a3b-instruct-2507,Alibaba,131072,0.0000002,0.0000008,,,"Jul 29, 2025"
Z.AI: GLM 4.5,https://openrouter.ai/z-ai/glm-4.5,z-ai/glm-4.5,Chutes,131072,0.00000039,0.00000155,,,"Jul 25, 2025"
Z.AI: GLM 4.5,https://openrouter.ai/z-ai/glm-4.5,z-ai/glm-4.5,DeepInfra,131072,0.0000004,0.0000016,,,"Jul 25, 2025"
Z.AI: GLM 4.5,https://openrouter.ai/z-ai/glm-4.5,z-ai/glm-4.5,Mancer 2,131072,0.0000005,0.000002,,,"Jul 25, 2025"
Z.AI: GLM 4.5,https://openrouter.ai/z-ai/glm-4.5,z-ai/glm-4.5,SiliconFlow,131072,0.0000005,0.000002,,,"Jul 25, 2025"
Z.AI: GLM 4.5,https://openrouter.ai/z-ai/glm-4.5,z-ai/glm-4.5,WandB,131000,0.00000055,0.000002,,,"Jul 25, 2025"
Z.AI: GLM 4.5,https://openrouter.ai/z-ai/glm-4.5,z-ai/glm-4.5,Parasail,131072,0.00000059,0.0000021,,,"Jul 25, 2025"
Z.AI: GLM 4.5,https://openrouter.ai/z-ai/glm-4.5,z-ai/glm-4.5,Novita,131072,0.0000006,0.0000022,,,"Jul 25, 2025"
Z.AI: GLM 4.5,https://openrouter.ai/z-ai/glm-4.5,z-ai/glm-4.5,GMICloud,131072,0.0000006,0.0000022,,,"Jul 25, 2025"
Z.AI: GLM 4.5,https://openrouter.ai/z-ai/glm-4.5,z-ai/glm-4.5,Z.AI,131072,0.0000006,0.0000022,,,"Jul 25, 2025"
Z.AI: GLM 4.5,https://openrouter.ai/z-ai/glm-4.5,z-ai/glm-4.5,AtlasCloud,131072,0.0000006,0.0000022,,,"Jul 25, 2025"
Z.AI: GLM 4.5 Air,https://openrouter.ai/z-ai/glm-4.5-air,z-ai/glm-4.5-air,SiliconFlow,131072,0.00000014,0.00000086,,,"Jul 25, 2025"
Z.AI: GLM 4.5 Air,https://openrouter.ai/z-ai/glm-4.5-air,z-ai/glm-4.5-air,Z.AI,131072,0.0000002,0.0000011,,,"Jul 25, 2025"
Z.AI: GLM 4.5 Air,https://openrouter.ai/z-ai/glm-4.5-air,z-ai/glm-4.5-air,GMICloud,131076,0.0000002,0.0000011,,,"Jul 25, 2025"
Qwen: Qwen3 235B A22B Thinking 2507,https://openrouter.ai/qwen/qwen3-235b-a22b-thinking-2507,qwen/qwen3-235b-a22b-thinking-2507,Chutes,262144,0.00000011,0.0000006,,,"Jul 25, 2025"
Qwen: Qwen3 235B A22B Thinking 2507,https://openrouter.ai/qwen/qwen3-235b-a22b-thinking-2507,qwen/qwen3-235b-a22b-thinking-2507,SiliconFlow,262144,0.00000013,0.0000006,,,"Jul 25, 2025"
Qwen: Qwen3 235B A22B Thinking 2507,https://openrouter.ai/qwen/qwen3-235b-a22b-thinking-2507,qwen/qwen3-235b-a22b-thinking-2507,DeepInfra,262144,0.0000003,0.0000029,,,"Jul 25, 2025"
Qwen: Qwen3 235B A22B Thinking 2507,https://openrouter.ai/qwen/qwen3-235b-a22b-thinking-2507,qwen/qwen3-235b-a22b-thinking-2507,Novita,131072,0.0000003,0.000003,,,"Jul 25, 2025"
Qwen: Qwen3 235B A22B Thinking 2507,https://openrouter.ai/qwen/qwen3-235b-a22b-thinking-2507,qwen/qwen3-235b-a22b-thinking-2507,Cerebras,131072,0.0000006,0.0000029,,,"Jul 25, 2025"
Qwen: Qwen3 235B A22B Thinking 2507,https://openrouter.ai/qwen/qwen3-235b-a22b-thinking-2507,qwen/qwen3-235b-a22b-thinking-2507,GMICloud,131072,0.0000006,0.000003,,,"Jul 25, 2025"
Qwen: Qwen3 235B A22B Thinking 2507,https://openrouter.ai/qwen/qwen3-235b-a22b-thinking-2507,qwen/qwen3-235b-a22b-thinking-2507,Together,262144,0.00000065,0.000003,,,"Jul 25, 2025"
Qwen: Qwen3 235B A22B Thinking 2507,https://openrouter.ai/qwen/qwen3-235b-a22b-thinking-2507,qwen/qwen3-235b-a22b-thinking-2507,Alibaba,131072,0.0000007,0.0000084,,,"Jul 25, 2025"
Qwen: Qwen3 Coder 480B A35B,https://openrouter.ai/qwen/qwen3-coder-480b-a35b-07-25,qwen/qwen3-coder,Chutes,262144,0.00000022,0.00000095,,,"Jul 23, 2025"
Qwen: Qwen3 Coder 480B A35B,https://openrouter.ai/qwen/qwen3-coder-480b-a35b-07-25,qwen/qwen3-coder,SiliconFlow,262144,0.00000025,0.000001,,,"Jul 23, 2025"
Qwen: Qwen3 Coder 480B A35B,https://openrouter.ai/qwen/qwen3-coder-480b-a35b-07-25,qwen/qwen3-coder,DeepInfra,262144,0.00000029,0.0000012,,,"Jul 23, 2025"
Qwen: Qwen3 Coder 480B A35B,https://openrouter.ai/qwen/qwen3-coder-480b-a35b-07-25,qwen/qwen3-coder,GMICloud,262144,0.00000029,0.0000012,,,"Jul 23, 2025"
Qwen: Qwen3 Coder 480B A35B,https://openrouter.ai/qwen/qwen3-coder-480b-a35b-07-25,qwen/qwen3-coder,Novita,262144,0.00000029,0.0000012,,,"Jul 23, 2025"
Qwen: Qwen3 Coder 480B A35B,https://openrouter.ai/qwen/qwen3-coder-480b-a35b-07-25,qwen/qwen3-coder,BaseTen,262144,0.00000038,0.00000153,,,"Jul 23, 2025"
Qwen: Qwen3 Coder 480B A35B,https://openrouter.ai/qwen/qwen3-coder-480b-a35b-07-25,qwen/qwen3-coder,Parasail,262144,0.00000039,0.0000016,,,"Jul 23, 2025"
Qwen: Qwen3 Coder 480B A35B,https://openrouter.ai/qwen/qwen3-coder-480b-a35b-07-25,qwen/qwen3-coder,AtlasCloud,262144,0.0000004,0.0000016,,,"Jul 23, 2025"
Qwen: Qwen3 Coder 480B A35B,https://openrouter.ai/qwen/qwen3-coder-480b-a35b-07-25,qwen/qwen3-coder,Nebius,262144,0.0000004,0.0000018,,,"Jul 23, 2025"
Qwen: Qwen3 Coder 480B A35B,https://openrouter.ai/qwen/qwen3-coder-480b-a35b-07-25,qwen/qwen3-coder,Fireworks,262144,0.00000045,0.0000018,,,"Jul 23, 2025"
Qwen: Qwen3 Coder 480B A35B,https://openrouter.ai/qwen/qwen3-coder-480b-a35b-07-25,qwen/qwen3-coder,WandB,262144,0.000001,0.0000015,,,"Jul 23, 2025"
Qwen: Qwen3 Coder 480B A35B,https://openrouter.ai/qwen/qwen3-coder-480b-a35b-07-25,qwen/qwen3-coder,Targon,262144,0.000001,0.000002,,,"Jul 23, 2025"
Qwen: Qwen3 Coder 480B A35B,https://openrouter.ai/qwen/qwen3-coder-480b-a35b-07-25,qwen/qwen3-coder,Google,262144,0.000001,0.000004,,,"Jul 23, 2025"
Qwen: Qwen3 Coder 480B A35B,https://openrouter.ai/qwen/qwen3-coder-480b-a35b-07-25,qwen/qwen3-coder,Google,262144,0.000001,0.000004,,,"Jul 23, 2025"
Qwen: Qwen3 Coder 480B A35B,https://openrouter.ai/qwen/qwen3-coder-480b-a35b-07-25,qwen/qwen3-coder,Alibaba,262144,0.0000015,0.0000075,,,"Jul 23, 2025"
Qwen: Qwen3 Coder 480B A35B,https://openrouter.ai/qwen/qwen3-coder-480b-a35b-07-25,qwen/qwen3-coder,Together,262144,0.000002,0.000002,,,"Jul 23, 2025"
Qwen: Qwen3 Coder 480B A35B,https://openrouter.ai/qwen/qwen3-coder-480b-a35b-07-25,qwen/qwen3-coder,Hyperbolic,262144,0.000002,0.000002,,,"Jul 23, 2025"
Qwen: Qwen3 Coder 480B A35B,https://openrouter.ai/qwen/qwen3-coder-480b-a35b-07-25,qwen/qwen3-coder,Cerebras,131072,0.000002,0.000002,,,"Jul 23, 2025"
Google: Gemini 2.5 Flash Lite,https://openrouter.ai/google/gemini-2.5-flash-lite,google/gemini-2.5-flash-lite,Google,1048576,0.0000001,0.0000004,,,"Jul 22, 2025"
Google: Gemini 2.5 Flash Lite,https://openrouter.ai/google/gemini-2.5-flash-lite,google/gemini-2.5-flash-lite,Google AI Studio,1048576,0.0000001,0.0000004,,,"Jul 22, 2025"
Qwen: Qwen3 235B A22B Instruct 2507,https://openrouter.ai/qwen/qwen3-235b-a22b-07-25,qwen/qwen3-235b-a22b-2507,Chutes,262144,0.00000008,0.00000055,,,"Jul 21, 2025"
Qwen: Qwen3 235B A22B Instruct 2507,https://openrouter.ai/qwen/qwen3-235b-a22b-07-25,qwen/qwen3-235b-a22b-2507,DeepInfra,262144,0.00000009,0.0000006,,,"Jul 21, 2025"
Qwen: Qwen3 235B A22B Instruct 2507,https://openrouter.ai/qwen/qwen3-235b-a22b-07-25,qwen/qwen3-235b-a22b-2507,WandB,262144,0.0000001,0.0000001,,,"Jul 21, 2025"
Qwen: Qwen3 235B A22B Instruct 2507,https://openrouter.ai/qwen/qwen3-235b-a22b-07-25,qwen/qwen3-235b-a22b-2507,Targon,262144,0.00000012,0.00000059,,,"Jul 21, 2025"
Qwen: Qwen3 235B A22B Instruct 2507,https://openrouter.ai/qwen/qwen3-235b-a22b-07-25,qwen/qwen3-235b-a22b-2507,SiliconFlow,262144,0.00000012,0.0000006,,,"Jul 21, 2025"
Qwen: Qwen3 235B A22B Instruct 2507,https://openrouter.ai/qwen/qwen3-235b-a22b-07-25,qwen/qwen3-235b-a22b-2507,Novita,131072,0.00000015,0.0000008,,,"Jul 21, 2025"
Qwen: Qwen3 235B A22B Instruct 2507,https://openrouter.ai/qwen/qwen3-235b-a22b-07-25,qwen/qwen3-235b-a22b-2507,Parasail,262144,0.00000015,0.00000085,,,"Jul 21, 2025"
Qwen: Qwen3 235B A22B Instruct 2507,https://openrouter.ai/qwen/qwen3-235b-a22b-07-25,qwen/qwen3-235b-a22b-2507,Together,262144,0.0000002,0.0000006,,,"Jul 21, 2025"
Qwen: Qwen3 235B A22B Instruct 2507,https://openrouter.ai/qwen/qwen3-235b-a22b-07-25,qwen/qwen3-235b-a22b-2507,Nebius,262144,0.0000002,0.0000006,,,"Jul 21, 2025"
Qwen: Qwen3 235B A22B Instruct 2507,https://openrouter.ai/qwen/qwen3-235b-a22b-07-25,qwen/qwen3-235b-a22b-2507,Friendli,131072,0.0000002,0.0000008,,,"Jul 21, 2025"
Qwen: Qwen3 235B A22B Instruct 2507,https://openrouter.ai/qwen/qwen3-235b-a22b-07-25,qwen/qwen3-235b-a22b-2507,BaseTen,262144,0.00000022,0.0000008,,,"Jul 21, 2025"
Qwen: Qwen3 235B A22B Instruct 2507,https://openrouter.ai/qwen/qwen3-235b-a22b-07-25,qwen/qwen3-235b-a22b-2507,Fireworks,262144,0.00000022,0.00000088,,,"Jul 21, 2025"
Qwen: Qwen3 235B A22B Instruct 2507,https://openrouter.ai/qwen/qwen3-235b-a22b-07-25,qwen/qwen3-235b-a22b-2507,Google,262144,0.00000025,0.000001,,,"Jul 21, 2025"
Qwen: Qwen3 235B A22B Instruct 2507,https://openrouter.ai/qwen/qwen3-235b-a22b-07-25,qwen/qwen3-235b-a22b-2507,Google,262144,0.00000025,0.000001,,,"Jul 21, 2025"
Qwen: Qwen3 235B A22B Instruct 2507,https://openrouter.ai/qwen/qwen3-235b-a22b-07-25,qwen/qwen3-235b-a22b-2507,AtlasCloud,262144,0.00000035,0.0000012,,,"Jul 21, 2025"
Qwen: Qwen3 235B A22B Instruct 2507,https://openrouter.ai/qwen/qwen3-235b-a22b-07-25,qwen/qwen3-235b-a22b-2507,Cerebras,131072,0.0000006,0.0000012,,,"Jul 21, 2025"
Qwen: Qwen3 235B A22B Instruct 2507,https://openrouter.ai/qwen/qwen3-235b-a22b-07-25,qwen/qwen3-235b-a22b-2507,Alibaba,131072,0.0000007,0.0000028,,,"Jul 21, 2025"
MoonshotAI: Kimi K2 0711,https://openrouter.ai/moonshotai/kimi-k2,moonshotai/kimi-k2,Targon,63000,0.00000014,0.00000249,,,"Jul 11, 2025"
MoonshotAI: Kimi K2 0711,https://openrouter.ai/moonshotai/kimi-k2,moonshotai/kimi-k2,Nebius,131072,0.0000005,0.0000024,,,"Jul 11, 2025"
MoonshotAI: Kimi K2 0711,https://openrouter.ai/moonshotai/kimi-k2,moonshotai/kimi-k2,DeepInfra,131000,0.00000055,0.0000022,,,"Jul 11, 2025"
MoonshotAI: Kimi K2 0711,https://openrouter.ai/moonshotai/kimi-k2,moonshotai/kimi-k2,Parasail,262144,0.00000055,0.00000299,,,"Jul 11, 2025"
MoonshotAI: Kimi K2 0711,https://openrouter.ai/moonshotai/kimi-k2,moonshotai/kimi-k2,Novita,131072,0.00000057,0.0000023,,,"Jul 11, 2025"
MoonshotAI: Kimi K2 0711,https://openrouter.ai/moonshotai/kimi-k2,moonshotai/kimi-k2,SiliconFlow,131072,0.00000058,0.00000229,,,"Jul 11, 2025"
MoonshotAI: Kimi K2 0711,https://openrouter.ai/moonshotai/kimi-k2,moonshotai/kimi-k2,Fireworks,131072,0.0000006,0.0000025,,,"Jul 11, 2025"
