Model name,Model URL,OpenRouter model ID,Provider,Context length,Price/input token,Price/output token,Latency,Throughput
DeepSeek: Deepseek R1 0528 Qwen3 8B,https://openrouter.ai/deepseek/deepseek-r1-0528-qwen3-8b,deepseek/deepseek-r1-0528-qwen3-8b,Nineteen,32000,0.00000001,0.00000002,,
DeepSeek: Deepseek R1 0528 Qwen3 8B,https://openrouter.ai/deepseek/deepseek-r1-0528-qwen3-8b,deepseek/deepseek-r1-0528-qwen3-8b,Parasail,131072,0.00000005,0.0000001,,
DeepSeek: Deepseek R1 0528 Qwen3 8B,https://openrouter.ai/deepseek/deepseek-r1-0528-qwen3-8b,deepseek/deepseek-r1-0528-qwen3-8b,Novita,128000,0.00000006,0.00000009,,
Anthropic: Claude Opus 4,https://openrouter.ai/anthropic/claude-4-opus-20250522,anthropic/claude-opus-4,Anthropic,200000,0.000015,0.000075,,
Anthropic: Claude Opus 4,https://openrouter.ai/anthropic/claude-4-opus-20250522,anthropic/claude-opus-4,Amazon Bedrock,200000,0.000015,0.000075,,
Anthropic: Claude Opus 4,https://openrouter.ai/anthropic/claude-4-opus-20250522,anthropic/claude-opus-4,Google,200000,0.000015,0.000075,,
Anthropic: Claude Sonnet 4,https://openrouter.ai/anthropic/claude-4-sonnet-20250522,anthropic/claude-sonnet-4,Google,200000,0.000003,0.000015,,
Anthropic: Claude Sonnet 4,https://openrouter.ai/anthropic/claude-4-sonnet-20250522,anthropic/claude-sonnet-4,Google,200000,0.000003,0.000015,,
Anthropic: Claude Sonnet 4,https://openrouter.ai/anthropic/claude-4-sonnet-20250522,anthropic/claude-sonnet-4,Google,200000,0.000003,0.000015,,
Anthropic: Claude Sonnet 4,https://openrouter.ai/anthropic/claude-4-sonnet-20250522,anthropic/claude-sonnet-4,Amazon Bedrock,200000,0.000003,0.000015,,
Anthropic: Claude Sonnet 4,https://openrouter.ai/anthropic/claude-4-sonnet-20250522,anthropic/claude-sonnet-4,Anthropic,200000,0.000003,0.000015,,
Google: Gemini 2.5 Pro Preview 05-06,https://openrouter.ai/google/gemini-2.5-pro-preview-03-25,google/gemini-2.5-pro-preview-05-06,Google,1048576,0.00000125,0.00001,,
Google: Gemini 2.5 Pro Preview 05-06,https://openrouter.ai/google/gemini-2.5-pro-preview-03-25,google/gemini-2.5-pro-preview-05-06,Google AI Studio,1048576,0.00000125,0.00001,,
Google: Gemini 2.5 Pro Preview 05-06,https://openrouter.ai/google/gemini-2.5-pro-preview-03-25,google/gemini-2.5-pro-preview-05-06,Google,1048576,0.00000125,0.00001,,
Google: Gemini 2.5 Pro Experimental,https://openrouter.ai/google/gemini-2.5-pro-exp-03-25,google/gemini-2.5-pro-exp-03-25,Google,1048576,0,0,,
